what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1523540704780
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1523540704781
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1523540704782
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1523540704783
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1523540704783
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1523540704784
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1523540704785
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1523540704786
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1523540704787
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1523540704788
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1523540704788
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1523540704788
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1523540704789
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1523540704790
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1523540704791
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1523540704791
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1523540704792
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1523540704792
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1523540704793
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1523540704794
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1523540704795
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1523540704795
started,bundle,com.altera.sbtgui.integration,12.0.0.178,"com.altera.sbtgui.integration",1523540704795
started,bundle,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch",1523540704796
started,bundle,com.altera.sbtgui.project,12.0.0.178,"com.altera.sbtgui.project",1523540704796
started,bundle,com.altera.systemconsole,12.0.0.178,"com.altera.systemconsole",1523540704796
started,bundle,com.altera.systemconsole.designs.plugin,12.0.0.178,"com.altera.systemconsole.designs.plugin",1523540704797
started,bundle,com.altera.systemconsole.scripting,12.0.0.178,"com.altera.systemconsole.scripting",1523540704797
started,bundle,com.altera.utilities,12.0.0.178,"com.altera.utilities",1523540704798
os,sysinfo,,,"linux",1523540704799
arch,sysinfo,,,"x86",1523540704799
ws,sysinfo,,,"gtk",1523540704799
locale,sysinfo,,,"en_US",1523540704799
processors,sysinfo,,,"8",1523540704799
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1523540704799
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1523540704799
java.specification.name,sysinfo,,,"Java Platform API Specification",1523540704799
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523540704799
java.specification.version,sysinfo,,,"1.6",1523540704799
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1523540704799
java.version,sysinfo,,,"1.6.0_23",1523540704799
java.vm.info,sysinfo,,,"mixed mode",1523540704799
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1523540704799
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1523540704799
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1523540704799
java.vm.specification.version,sysinfo,,,"1.0",1523540704799
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1523540704799
java.vm.version,sysinfo,,,"19.0-b09",1523540704799
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1523540726558
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1523540726598
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1523540726600
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1523540726612
started,bundle,com.altera.sbtgui.core,12.0.0.178,"com.altera.sbtgui.core",1523540726614
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1523540726661
error,log,,,"The system console model is invalid. Cannot launch.",1523540733306
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523540733354
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523540734664
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523540735813
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1523540737353
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1523540737397
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1523540737659
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1523540737712
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.0.0.178,"com.altera.debug.cdi.gdb.plugin",1523540737713
